"Bill of Material for "
"On 29.11.2023 at 12:09:43"

"Comment","Pattern","Quantity","Components"

"0R","0402_r","1","R100",""
"0R","0603","9","R102, R105, R106, R107, R200, R201, R202, R205, R206",""
"100k","0603","1","R209",""
"100n","0402_C","7","C102, C104, C106, C109, C112, C114, C200","Capacitor"
"100p","0402_C","2","C101, C107","Capacitor"
"10118193-0001LF","FCI_10118193-0001LF","1","J200","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole"
"10k","0603","3","R104, R112, R113",""
"10n","0402_C","1","C115","Capacitor"
"120p","0402_C","1","C204","Capacitor"
"15p","0402_C","2","C103, C111","Capacitor"
"1k","0603","1","R111",""
"1M","0603","1","R103",""
"200k","0603","1","R207",""
"22u","0805_c","1","C205","Capacitor"
"250R","0603","2","R109, R110",""
"2n4","0402","1","L100","inductor"
"39p","0402_C","1","C100","Capacitor"
"470R","0603","1","R203",""
"47u","0805_c","2","C105, C113","Capacitor"
"4u7","0603_C","5","C110, C119, C201, C202, C203","Capacitor"
"5n6","0402","1","L101","inductor"
"6k65","0603","1","R204",""
"ACAG0301-1575-T","ANT_ACAG0301-1575-T","1","A100","1.575GHz GPS Chip RF Antenna 1.565GHz ~ 1.585GHz 4.18dBi Solder Surface Mount"
"BLM15AX121SN1D","0402_L","2","FB100, FB101","Ferrite Bead"
"BSH105,215","SOT23-3D","2","Q100, Q101","MOSFET N-CH, 170V, 6Ohm, 170mA, Single"
"DFE252012F-1R0M=P2","INDC2520X120N","1","L200","Inductor with Inductance: 1uH Tol. +/-20%, Package: 1008 _2520_"
"DNP/TC2030-MCP-NL - PCB","TC2030-MCP-NL - PCB","1","CON_PCB100",""
"DNP","0603","1","R208",""
"GJM1555C1H1R2WB01D","CAPC1005X55N","1","C108",""
"L0603G","LED_0603_G","3","LED100, LED101, LED200","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"Li-Po Battery 500mAh","Battery 500maH","1","BAT200","ACCU-LP542439/C"
"LQG15HN2N2S02D","INDC1005X55N","1","L104","Ind RF Chip Multi-Layer 2.2nH 0.3nH 100MHz 8Q-Factor Air 300mA 0402 Paper T/R"
"LQG15HN3N3S02D","INDC1005X55N","1","L105","Ind RF Chip Multi-Layer 2.2nH 0.3nH 100MHz 8Q-Factor Air 300mA 0402 Paper T/R"
"LQG15HN4N7S02D","INDC1005X55N","1","L103","Ind RF Chip Multi-Layer 2.2nH 0.3nH 100MHz 8Q-Factor Air 300mA 0402 Paper T/R"
"LQW15AN9N1J00D","INDC1006X60N","1","L102","Inductor with Inductance: 9.1nH Tol. +/-5%, Package: 0402 (1005)"
"MCP73832T-2DCI/OT","SOT95P280X145-5N","1","U200","Charger IC Lithium Ion/Polymer SOT-23-5"
"pin1x2","piny1x2","1","CON200","1x2"
"SIM8060-6-0-14-00-A","GCT_SIM8060-6-0-14-00-A","1","J100","6 Position Card Connector NANO SIM Surface Mount, Right Angle Gold"
"SKY65943-11","IC_SKY65943-11","1","U100","RF Front End 1.559GHz ~ 1.606GHz Galileo, GLONASS, GNSS, GPS 10-MCM (2.5x2.5)"
"SR4L049-X","SR4L049R","1","A101","Antenna"
"T821-1-06-S1","IDC_2X3_2.54MM","1","CON300",""
"testpointMini","testpoint_50mils_round","7","TP100, TP101, TP102, TP103, TP104, TP105, TP106",""
"TPD3F303DPVR","SON50P210X160X65-9N","1","U102","None <a href="https://snapeda.com/parts/TPD3F303DPVR/Texas%20Instruments/view-part/?ref=eda">Check prices</a>"
"TPS62A01DRLR","TPS62A01DRLR","1","U201",""
"TS4148-RYG","0805D","1","D108","Diode"
"Value","NRF9160_SIP","1","U101",""
